Road,Plant,Fence,Tree,Understory planting,Ground,Sidewalk,Furniture,Wall,Y
0.38083596,0.606362656,0.575132809,0.85774264,0.510343801,0.305770231,0.627190744,0.194524654,0.514927145,5.4041055
0.378424352,0.559855786,0.556053265,0.802985787,0.454108625,0.310885866,0.602321782,0.233069694,0.508476318,6.8403505
0.381885065,0.560505889,0.55360963,0.834979178,0.469722756,0.305666137,0.562883979,0.194260183,0.511149849,-2.7689225
0.408630056,0.647594881,0.548976424,0.779857333,0.557600428,0.305662352,0.660702325,0.198643707,0.516526498,-0.4441215
0.319912268,0.626344299,0.45002447,0.624872732,0.534093845,0.305659823,0.62514004,0.191410374,0.5312979,-4.9194005
0.463751978,0.62563094,0.558365579,0.635902011,0.533211519,0.304293404,0.633308273,0.193704794,0.518078181,1.6363865
0.544553429,0.625653217,0.527893301,0.797408448,0.533234416,0.305664864,0.609901983,0.194640697,0.506741359,4.3870805
0.223146751,0.625665666,0.479991832,0.689531871,0.533219945,0.305774592,0.583551993,0.19395793,0.510866305,-4.1260485
0.310573608,0.624051523,0.511140012,0.74804537,0.533066087,0.305659823,0.672284405,0.192141717,0.512910285,7.4248305
0.187539592,0.625414875,0.596130172,0.568811191,0.5365563,0.30627302,0.639120137,0.19395793,0.595447848,12.7395665
0.235243143,0.619295362,0.4605596,0.490815961,0.602942001,0.306433964,0.606346955,0.219101907,1,0.3681215
0.298300319,0.542139348,0.580261282,0.418407137,0.440877344,0.30560052,0.616719788,0.193987346,0.765962902,-6.0959945
0.328250395,0.504524047,0.660363101,0.442006775,0.413814958,0.304253577,0.602334445,0.196319278,0.639970808,-9.0973555
0.330186534,0.513941211,0.573787442,0.441143919,0.467921025,0.303068882,0.599126125,0.331917874,0.854680899,-0.0717115
0.402130417,0.580702605,0.57285855,0.455006157,0.486467161,0.307083674,0.597214384,0.197149743,0.658142271,-9.1820725
0.522017635,0.617317481,0.618939219,0.482810142,0.540824767,0.31234323,0.635298976,0.194562435,0.604775209,-1.6715245
0.483681884,0.624820799,0.510647422,0.598802462,0.533423523,0.305659823,0.644986359,0.195479987,0.553933741,-7.2788845
0.493140181,0.626432273,0.51474141,0.536690266,0.538319588,0.305520462,0.633757241,0.196545427,0.513788039,0.0367385
0.227150932,0.624919516,0.509657961,0.538376487,0.559422947,0.305108452,0.647450032,0.157393751,0.648381786,-2.7963155
0.469630947,0.625650537,0.415236299,0.262955625,0.589385341,0.305519066,0.61917287,0.219423994,0.748595227,6.0608925
0.382843677,0.625663888,0.457872618,0.317605223,0.563213452,0.305876209,0.639334034,0.194718338,0.703148489,-10.0892045
0.410342774,0.625663888,0.468055595,0.369259641,0.5590998,0.306503912,0.645072481,0.194378925,0.709215505,0.0946915
0.539265985,0.625663888,0.458816519,0.387622917,0.534217367,0.305659823,0.64900659,0.1939677,0.516147618,6.3907415
0.410153608,0.62535351,0.541955864,0.617238844,0.53392747,0.305659823,0.606339895,0.19395793,0.508566719,-0.2422985
0.401501569,0.586166754,0.56036219,0.543539742,0.490944569,0.306005534,0.638023839,0.194075053,0.508184555,4.1415435
0.216276449,0.635177102,0.597086398,0.561882209,0.545562893,0.305659823,0.74236068,0.24277224,0.509552961,15.8474875
0.392778463,0.629220336,0.49783219,0.617514189,0.537343904,0.305659823,0.666485952,0.216241843,0.51324643,-0.8128535
0.47845835,0.627518153,0.532832566,0.654544901,0.535506984,0.305659823,0.671949796,0.206812646,0.512018631,-2.5798695
0.371758042,0.624763867,0.561607857,0.702729759,0.532117425,0.305676864,0.672656424,0.20002017,0.513644214,-9.6961775
0.515888147,0.625663888,0.541701264,0.66000858,0.533272854,0.305493276,0.624179278,0.195245202,0.495479324,-11.7624295
0.342972104,0.625663888,0.560935176,0.702651316,0.53329687,0.30764514,0.692261319,0.196270701,0.510289355,3.1387785
0.322702723,0.622286195,0.500899145,0.63088977,0.528814242,0.305647213,0.652517146,0.213352714,0.502271228,-6.5910205
0.430222066,0.625870184,0.574273598,0.671134442,0.533487911,0.30618596,0.638792591,0.19395793,0.518290222,14.1025695
0.386161237,0.625659438,0.564309846,0.673344674,0.533241684,0.305659823,0.652593387,0.203153017,0.527515671,-9.3436135
0.608699076,0.625639848,0.514801441,0.586805206,0.532013484,0.301898638,0.576771604,0.242136376,0.520491182,1.7313835
0.493937744,0.625663888,0.404474978,0.575688415,0.533031711,0.304191181,0.642945534,0.19395793,0.512713859,-2.1558735
0.412309078,0.623903071,0.507906842,0.608290127,0.532156983,0.305659823,0.671380824,0.194006777,0.514032956,-6.3972495
