Road,Plant,Fence,Tree,Understory planting,Ground,Sidewalk,Furniture,Wall,Y
0.41818387,0.494275169,0.666879423,0.59639792,4.37E-01,0.718154301,0.731803129,0.578423001,0.477378185,2.578032
0.437324026,0.505847498,0.692480361,0.58000291,4.37E-01,0.718145759,0.701978868,0.59865071,0.478221379,-15.666812
0.507875785,0.481523035,0.677685029,0.619462094,0.40295921,0.718468105,0.733192752,0.579465492,0.463680656,-7.372343
0.534588731,0.424888047,0.66309986,0.60341055,0.350582044,0.711838078,0.711594336,0.574780539,0.476748958,2.737699
0.521613063,0.456489833,6.65E-01,0.494736547,0.395297292,0.719153006,0.73030599,0.580839671,0.463925812,18.492795
0.515114663,0.414165007,0.65873924,0.478005505,0.354245601,0.718092556,0.721889987,0.582089471,0.465399721,-2.054259
0.491484218,0.457111679,0.660859835,0.577714913,0.340519573,0.727585003,0.743876768,0.580430981,0.466645557,-8.154474
0.441173287,0.493042548,0.705956872,0.604666559,0.360786356,0.716541035,0.752708926,0.577664838,0.457947722,5.269366
0.512010005,0.520463473,0.686628406,0.618203959,3.76E-01,0.71817135,0.771841125,0.57571072,0.461171214,0.850112
0.486191097,0.502587483,6.65E-01,0.604955875,0.440034732,0.717117718,0.72623878,0.578280854,0.458530895,5.417776
0.478106102,0.474961261,0.687248734,0.574685308,0.3748221,0.714288742,0.74213608,0.574567023,0.458487027,7.373205
0.458890196,0.41783391,0.711063755,0.577212191,0.347991411,0.715193424,0.746471707,0.574561095,0.459214361,2.156972
0.470120558,0.470291442,0.684805757,0.601925208,0.417533345,0.710001995,0.725894299,0.574561095,0.454451647,2.95371
0.507400167,0.352452166,0.654401553,0.540992831,0.346244059,0.711231113,0.733115224,0.57530786,0.47027164,-0.941069
0.522322624,0.368655983,0.662256273,0.536463024,0.328764742,0.716251845,0.727736649,0.574561095,0.465008215,-11.434697
0.684313666,0.245410038,0.661295708,0.522389985,0.206774243,0.71379262,0.711363219,0.579619496,0.459472887,5.61645
0.655691032,0.30532719,0.658926307,0.491325255,0.223776923,0.699626718,0.724939847,0.581289843,0.463757174,14.309502
0.599651041,0.279535845,0.661703236,0.51629574,0.215847741,0.715374592,0.731760707,0.579945272,0.46637663,13.094759
0.488400686,0.347508051,0.663654792,0.490909062,0.297130033,0.717195591,0.729886177,0.580359891,0.465315773,6.469084
0.465823505,0.378224769,0.663699879,0.53504298,2.91E-01,0.717518883,0.691879958,0.580590897,0.460775185,-13.64501
0.47844465,0.477043173,0.659344886,0.611756163,0.397745129,0.700421462,0.741907158,0.574561095,0.45338559,5.38255
0.428775781,0.560704683,0.666812123,0.63914258,0.498467328,0.710917184,0.770866193,0.588468746,0.46238804,13.066067
0.51631891,0.494115874,0.663721321,0.58229887,0.403272785,0.718315434,0.72246266,0.594433386,0.464676882,5.999553
0.436521194,0.500831827,0.656811951,0.563178436,0.441009234,0.718150504,7.27E-01,0.574952492,0.486807783,11.77887
0.434976338,0.516985385,0.716594689,0.591434399,4.52E-01,0.71767537,0.725082467,0.578263216,0.46135539,-15.08514
0.52986192,0.531964247,0.705537593,0.589428287,4.55E-01,0.717652623,0.738107632,0.574561095,0.458352599,-18.206769
0.530725042,0.479691564,6.65E-01,0.511442639,0.417479313,0.715000929,0.710165217,0.576711206,0.440329174,9.12895
0.520682952,0.427803065,0.66527162,0.545152101,0.344894227,0.716384619,0.735569009,0.585584152,0.451478575,-5.810187
0.507800552,0.551453633,0.656443894,0.616934148,0.478575872,0.718256699,0.721081081,0.582190153,0.42420311,-2.940346
0.516336945,0.537599208,0.659255482,0.586108303,0.463500009,0.721957308,0.721862195,0.557206156,0.352651727,13.702082
0.507809826,0.510467057,0.665210625,0.572818812,0.410284388,0.715084388,0.723288388,0.577350902,0.405241406,3.5077
0.430463376,0.522267683,0.714509461,0.602354142,0.405011454,0.70924615,0.750585725,0.57522434,0.41076113,-7.034983
0.463908149,0.586798431,0.670239888,0.54110909,0.521834188,0.710516033,0.724478344,0.581520849,0.463775006,1.654985
0.450977825,0.49371721,0.689001389,0.554995795,0.418461537,0.716370384,0.748664388,0.574561095,0.458917944,-10.264697
0.516296238,0.494951533,0.666422722,0.541769477,0.428945652,0.717764518,0.739655967,0.578677704,0.45684229,-0.918286
0.508356556,0.498223475,0.664842631,0.55387781,0.436613356,0.718150504,0.739146194,0.574561095,0.461862045,9.294806
0.489952243,0.462158867,0.722501402,0.581539212,0.37566442,0.707353138,0.724187256,0.580105204,0.432796941,-1.605291
0.488119334,0.505182206,0.708959698,0.582232512,0.381285667,0.720867617,0.733625729,0.574561095,0.41778968,13.300279
0.474598997,0.57288097,0.698084138,0.501093567,0.45423354,0.715900934,0.728805197,0.574561095,0.409828796,7.650512
0.48519606,0.583147417,0.668528125,0.589863591,4.66E-01,0.718115369,0.745576495,0.575769675,0.446401615,9.581222
0.584204527,0.433312804,0.684478725,0.598495868,0.336226929,0.716709913,0.666182881,0.574561095,0.460005545,4.655193
0.508356556,0.498223475,0.664842631,0.55387781,0.436613356,0.718150504,0.739146194,0.574561095,0.461862045,20.165512
