Road,Plant,Fence,Tree,Understory planting,Ground,Sidewalk,Furniture,Wall,Y
0.619619807,0.65311314,0.357566449,0.459037745,0.347178061,0.533916851,0.329741445,0.200478138,0.729626418,-5.411277
0.612871418,0.653487929,0.377698403,0.443109071,0.347613452,0.449931888,0.341823674,0.202249598,0.728618082,-10.802399
0.752690415,0.652626791,0.347122091,0.440985338,0.34547729,0.507175502,0.362078369,0.203619973,0.720219428,-5.310754
0.600647675,0.653487929,0.397736579,0.449207435,0.347542349,0.490438742,0.404223429,0.202249598,0.732494575,2.03444
0.683731653,0.653487929,0.400598529,0.444945536,0.347613452,0.504170776,0.433288991,0.218811636,0.734742792,-0.561602
0.659778057,0.653487929,0.385758874,0.434010723,0.347613452,0.508022039,0.315069878,0.202249598,0.726137491,0.232234
0.546772097,0.653335279,0.422150574,0.457307536,0.345972804,0.629428839,0.34567397,0.202249598,0.731626494,1.972759
0.52528539,0.655483927,0.394892814,0.439858537,0.348177009,0.568548106,0.355561415,0.202249598,0.733854797,5.831359
0.579998024,0.653838226,0.483285883,0.443334694,0.347347564,0.568712062,0.370899152,0.202249598,0.733546053,5.606142
0.457480452,0.651619519,0.477700224,0.431193066,0.347734998,0.558636981,0.396165961,0.202249598,0.734779307,-4.188109
0.700309275,0.656040443,0.405105471,0.440459322,0.353128952,0.575905992,0.438180169,0.201766068,0.735081382,13.530536
0.578826316,0.678320903,0.434410905,0.438558584,0.363220974,0.570676164,0.38408968,0.194473,0.732224025,1.817656
0.535632356,0.656608978,0.379144231,0.446191704,0.349945481,0.57273027,0.403547349,0.127498664,0.733887223,-10.39805
0.76611652,0.661749105,0.299272853,0.366969415,0.352074003,0.571251682,0.290364151,0.056536426,0.729700327,-9.72351
0.733186928,0.671582174,0.298653748,0.352748652,0.358270192,0.57351722,0.312758117,0.007898706,0.721866691,5.14779
0.899141143,0.657593557,0.285390152,0.368226083,0.351101006,0.573453388,0.262018292,0.034614886,0.724932468,-8.749378
0.581558883,0.659060618,0.424026755,0.453317171,0.341010122,0.57250978,0.398537203,0.209457992,0.753604907,-3.553302
